|text|span|label|ordinal
0|The quality of the fabric used in this dress is impeccable , but the design is outdated .|fabric|positive|0
4|The variety of sizes and styles available in this clothing store is impressive , and the staff is always helpful and friendly .|clothing store|positive|0
5|The variety of sizes and styles available in this clothing store is impressive , and the staff is always helpful and friendly .|staff|positive|0
6|The variety of sizes and styles available in this clothing store is impressive , and the staff is always helpful and friendly .|staff|positive|0
8|The doctor was very knowledgeable and took the time to explain my health condition to me in detail . I felt reassured and confident in his abilities .|doctor|positive|0
9|The doctor was very knowledgeable and took the time to explain my health condition to me in detail . I felt reassured and confident in his abilities .|health condition|positive|0
10|The doctor was very knowledgeable and took the time to explain my health condition to me in detail . I felt reassured and confident in his abilities .|abilities|positive|0
13|I was pleasantly surprised by the thoughtful and well-researched policies put forth by the candidate during the debate .|candidate|positive|0
14|I was pleasantly surprised by the thoughtful and well-researched policies put forth by the candidate during the debate .|debate|positive|0
17|The ambiance of this restaurant is amazing , but the food is mediocre at best .|ambiance|positive|0
21|The seafood at this restaurant is fresh and delicious , but the prices are a bit steep .|seafood|positive|0
24|The seafood pasta dish was absolutely delicious and had the perfect amount of seasoning .|seafood pasta dish|positive|0
25|The seafood pasta dish was absolutely delicious and had the perfect amount of seasoning .|seasoning|positive|0
27|The plot of this book was intriguing , but the writing style was difficult to follow .|plot|positive|0
29|I found the characters in this book to be relatable and well-developed , but the ending was disappointing .|characters|positive|0
30|I found the characters in this book to be relatable and well-developed , but the ending was disappointing .|characters|positive|0
32|The historical accuracy of this book was impressive , but the pacing was slow .|historical accuracy|positive|0
34|1 ) The latest album by Taylor Swift is a masterpiece . Her vocals are stunning and the lyrics are deeply personal .|album|positive|0
35|1 ) The latest album by Taylor Swift is a masterpiece . Her vocals are stunning and the lyrics are deeply personal .|vocals|positive|0
36|1 ) The latest album by Taylor Swift is a masterpiece . Her vocals are stunning and the lyrics are deeply personal .|lyrics|positive|0
40|3 ) The concert by Beyonce was an unforgettable experience . Her energy and stage presence were electrifying , and the crowd was left wanting more .|concert|positive|0
41|3 ) The concert by Beyonce was an unforgettable experience . Her energy and stage presence were electrifying , and the crowd was left wanting more .|energy|positive|0
42|3 ) The concert by Beyonce was an unforgettable experience . Her energy and stage presence were electrifying , and the crowd was left wanting more .|stage presence|positive|0
43|3 ) The concert by Beyonce was an unforgettable experience . Her energy and stage presence were electrifying , and the crowd was left wanting more .|crowd|positive|0
44|The movie was visually stunning , but the plot was convoluted and hard to follow .|movie|positive|0
49|The new video game was a blast to play , the graphics were impressive and the gameplay was smooth .|video game|positive|0
50|The new video game was a blast to play , the graphics were impressive and the gameplay was smooth .|graphics|positive|0
51|The new video game was a blast to play , the graphics were impressive and the gameplay was smooth .|gameplay|positive|0
53|I was pleasantly surprised by the low interest rate on my new credit card . It's a great deal !|interest rate|positive|0
54|I was pleasantly surprised by the low interest rate on my new credit card . It's a great deal !|credit card|positive|0
58|I was pleasantly surprised by the low interest rates offered by this credit card company . It's definitely a great option for those looking to save money on their purchases .|interest rates|positive|0
59|I was pleasantly surprised by the low interest rates offered by this credit card company . It's definitely a great option for those looking to save money on their purchases .|credit card company|positive|0
64|The hotel room was spacious and clean , but the staff was unfriendly and unhelpful .|hotel room|positive|0
66|The tour guide was knowledgeable and entertaining , and the scenery was breathtaking .|tour guide|positive|0
67|The tour guide was knowledgeable and entertaining , and the scenery was breathtaking .|scenery|positive|0
68|The weather forecast for this weekend is looking great , with clear skies and warm temperatures .|weather forecast|positive|0
69|The weather forecast for this weekend is looking great , with clear skies and warm temperatures .|clear skies|positive|0
70|The weather forecast for this weekend is looking great , with clear skies and warm temperatures .|warm temperatures|positive|0
71|Despite the rainy weather , I'm really enjoying my vacation here . The cool breeze and fresh air are just what I needed .|rainy weather|positive|0
72|Despite the rainy weather , I'm really enjoying my vacation here . The cool breeze and fresh air are just what I needed .|vacation|positive|0
73|Despite the rainy weather , I'm really enjoying my vacation here . The cool breeze and fresh air are just what I needed .|cool breeze|positive|0
74|Despite the rainy weather , I'm really enjoying my vacation here . The cool breeze and fresh air are just what I needed .|fresh air|positive|0
