|text|span|label|ordinal
0|Но персонал был так ужасен с нами.|персонал|negative|0.0
1|Чтобы быть полностью справедливым, единственным искупительным фактором была еда, которая была выше среднего, но не могла компенсировать все остальные недостатки Teodora.|еда|positive|0.0
2|Еда в целом исключительная, с очень умелой кухней, которая с гордостью приготовит все, что вы захотите съесть, независимо от того, есть ли это в меню или нет.|еда|positive|0.0
3|Еда исключительная, с очень способной кухней, которая с гордостью приготовит все, что вы захотите съесть, независимо от того, есть ли это в меню или нет.|кухня|positive|0.0
4|Еда неизменно исключительная, с очень способной кухней, которая с гордостью приготовит все, что вы захотите съесть, независимо от того, есть ли это в меню или нет.|меню|neutral|0.0
5|Не только еда была выдающейся, но и маленькие «плюсы» были замечательными.|еда|positive|0.0
6|Не только еда была выдающейся, но и маленькие «плюсы» были великолепны.|плюсы|positive|0.0
7|Нашим любимым блюдом по общему мнению является орекьетте с колбасой и курицей (обычно официанты достаточно любезны, чтобы разделить блюдо пополам, так что вы можете попробовать оба вида мяса)|орекьетте с колбасой и курицей|positive|0.0
8|Нашим любимым блюдом по общему мнению является орекьетте с колбасой и курицей (обычно официанты достаточно любезны, чтобы разделить блюдо пополам, так что вы можете попробовать оба вида мяса)|официанты|positive|0.0
9|Нашим любимым блюдом по общему мнению является орекьетте с колбасой и курицей (обычно официанты достаточно любезны, чтобы разделить блюдо пополам, и вы можете попробовать оба вида мяса).|мяса|neutral|0.0
10|Наш общий фаворит - орекьетте с колбасой и курицей (обычно официанты достаточно любезны, чтобы разделить блюдо пополам, так что вы можете попробовать оба вида мяса).|блюдо|neutral|0.0
11|Багели обладают выдающимся вкусом и потрясающей текстурой, одновременно жевательной, но не липкой.|Багели|positive|0.0
12|Несмотря на это, сама еда довольно хороша.|еда|positive|0.0
13|У них не было майонеза, они забыли наши тосты, забыли ингредиенты (т.е. сыр в омлете), температура была ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы к нему прикасались.|тосты|negative|0.0
14|У них не было майонеза, они забыли наши тосты, не было ингредиентов (т.е. сыра в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы его трогали.|майонез|negative|0.0
15|У них не было майонеза, забыли наши тосты, забыли ингредиенты (т.е. сыр в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы его трогали.|бекон|negative|0.0
16|У них не было майонеза, забыли наши тосты, не было ингредиентов (т.е. сыра в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы к нему прикасались.|сыра|neutral|0.0
17|У них не было майонеза, забыли наши тосты, не было ингредиентов (т.е. сыра в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы его трогали.|ингредиентов|negative|0.0
18|У них не было майонеза, забыли наши тосты, не было ингредиентов (т.е. сыра в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы к нему прикасались.|тарелке|neutral|0.0
19|У них не было майонеза, они забыли наши тосты, забыли ингредиенты (т.е. сыр в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы его трогали.|омлете|neutral|0.0
