|text|span|label|ordinal
1|Чтобы быть полностью справедливым, единственным искупительным фактором была еда, которая была выше среднего, но не могла компенсировать все остальные недостатки Teodora.|еда|positive|0.0
2|Еда в целом исключительная, с очень умелой кухней, которая с гордостью приготовит все, что вы захотите съесть, независимо от того, есть ли это в меню или нет.|еда|positive|0.0
3|Еда исключительная, с очень способной кухней, которая с гордостью приготовит все, что вы захотите съесть, независимо от того, есть ли это в меню или нет.|кухня|positive|0.0
5|Не только еда была выдающейся, но и маленькие «плюсы» были замечательными.|еда|positive|0.0
6|Не только еда была выдающейся, но и маленькие «плюсы» были великолепны.|плюсы|positive|0.0
7|Нашим любимым блюдом по общему мнению является орекьетте с колбасой и курицей (обычно официанты достаточно любезны, чтобы разделить блюдо пополам, так что вы можете попробовать оба вида мяса)|орекьетте с колбасой и курицей|positive|0.0
8|Нашим любимым блюдом по общему мнению является орекьетте с колбасой и курицей (обычно официанты достаточно любезны, чтобы разделить блюдо пополам, так что вы можете попробовать оба вида мяса)|официанты|positive|0.0
11|Багели обладают выдающимся вкусом и потрясающей текстурой, одновременно жевательной, но не липкой.|Багели|positive|0.0
12|Несмотря на это, сама еда довольно хороша.|еда|positive|0.0
22|Дизайн и атмосфера так же хороши.|Дизайн|positive|0.0
23|Дизайн и атмосфера так же хороши.|атмосфера|positive|0.0
24|Он побывал в Таиланде и хорошо разбирается в кухне.|кухне|positive|0.0
25|Пицца лучшая, если вы любите пиццу с тонкой корочкой.|Пицца|positive|0.0
27|Все деньги ушли на оформление интерьера, ни одна из них не досталась поварам.|оформление интерьера|positive|0.0
31|Не ходите в одиночку - даже двух человек недостаточно для полного впечатления, с соленьями и выбором мяса и морепродуктов.|соленьями|positive|0.0
32|Не ходите в одиночку - даже двух человек недостаточно для полного впечатления, с соленьями и выбором мяса и морепродуктов.|выбором мяса и морепродуктов|positive|0.0
34|Мое предложение - питаться по-семейному, потому что вы захотите попробовать другие блюда.|питаться по-семейному|positive|0.0
35|Лучшее из всего - это теплая атмосфера, владелец очень дружелюбен, а обслуживание быстрое.|атмосфера|positive|0.0
36|Лучшее из всего - это теплая атмосфера, владелец очень дружелюбный и обслуживание быстрое.|владелец|positive|0.0
