|text|span|label|ordinal
1|I charge it at night and skip taking the cord with me because of the good battery life.|battery life|positive|0
5|it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.|quality|positive|0
6|it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.|GUI|positive|0
7|it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.|applications|positive|0
8|it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.|use|positive|0
9|Easy to start up and does not overheat as much as other laptops.|start up|positive|0
10|I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!|features|positive|0
11|I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!|iChat|positive|0
12|I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!|Photobooth|positive|0
13|I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!|garage band|positive|0
14|Great laptop that offers many great features!|features|positive|0
20|In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).|rubber enclosure|positive|0
22|However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).|multi-touch gestures|positive|0
23|However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).|tracking area|positive|0
26|I love the way the entire suite of software works together.|suite of software|positive|0
27|The speed is incredible and I am more than satisfied.|speed|positive|0
28|This laptop meets every expectation and Windows 7 is great!|Windows 7|positive|0
34|Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.|syncing|positive|0
35|"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!"|"30"" HD Monitor"|positive|0
40|I love the operating system and the preloaded software.|operating system|positive|0
41|I love the operating system and the preloaded software.|preloaded software|positive|0
42|The best thing about this laptop is the price along with some of the newer features.|price|positive|0
43|The best thing about this laptop is the price along with some of the newer features.|features|positive|0
47|I sent it back to Toshiba twice they covered it under the  warranty.|warranty|positive|0
48|I was looking for a mac which is portable and has all the features that I was looking for.|features|positive|0
56|Drivers updated ok but the BIOS update froze the system up and the computer shut down.|Drivers|positive|0
67|Amazing Quality!|Quality|positive|0
69|The fact that you can spend over $100 on just a webcam underscores the value of this machine.|value|positive|0
76|If a website ever freezes (which is rare), its really easy to force quit.|force quit|positive|0
78|I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.|Windows 7|positive|0
80|It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!|operating system|positive|0
81|It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!|runs|positive|0
82|It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!|navigate|positive|0
83|It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!|find files|positive|0
87|We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.|speed|positive|0
88|We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.|performace|positive|0
92|And if you have a iphone or ipod touch you can connect and download songs to it at high speed.|speed|positive|0
93|I love the glass touchpad.|glass touchpad|positive|0
96|I am using the external speaker- sound is good.|external speaker|positive|0
97|I am using the external speaker- sound is good.|sound|positive|0
101|Everything is so easy to use, Mac software is just so much simpler than Microsoft software.|Mac software|positive|0
103|Everything is so easy to use, Mac software is just so much simpler than Microsoft software.|use|positive|0
106|Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.|use|positive|0
107|Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.|service|positive|0
108|Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.|phone assistance|positive|0
109|Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.|genius bar|positive|0
110|It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.|battery life|positive|0
111|It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.|battery life|positive|1
116|Acer has set me up with FREE recovery discs, when they are available since I asked.|recovery discs|positive|0
120|The battery life seems to be very good, and have had no issues with it.|battery life|positive|0
125|There is no need to purchase virus protection for Mac, which saves me a lot of time and money.|virus protection for Mac|positive|0
130|It is always reliable, never bugged and responds well.|responds|positive|0
135|Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.|use|positive|0
138|Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.|XP|positive|0
139|I love WIndows 7 which is a vast improvment over Vista.|WIndows 7|positive|0
141|Keyboard is great, very quiet for all the typing that I do.|Keyboard|positive|0
145|I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.|quad core I7|positive|0
146|After talking it over with the very knowledgeable sales associate, I chose the MacBook Pro over the white MacBook.|sales associate|positive|0
147|If you really want a bang-up system and don't need to run Windows applications, go with an Apple;|system|positive|0
154|It's color is even cool.|color|positive|0
157|Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.|style|positive|0
158|Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.|speed|positive|0
159|The keyboard feels good and I type just fine on it.|keyboard|positive|0
162|BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple|sales|positive|0
163|BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple|service|positive|0
