|text|span|label|ordinal
1|Я заряжаю его ночью и не беру с собой шнур, потому что у него отличное время работы от аккумулятора.|время работы от аккумулятора|positive|0
5|Он высокого качества, имеет потрясающий графический интерфейс, чрезвычайно стабилен, легко расширяется, поставляется с множеством отличных приложений, прост в использовании и выглядит просто потрясающе.|качество|positive|0
6|Он высокого качества, имеет потрясающий графический интерфейс, чрезвычайно стабилен, легко расширяется, поставляется с множеством отличных приложений, прост в использовании и выглядит просто потрясающе.|графический интерфейс|positive|0
7|Он высокого качества, имеет потрясающий графический интерфейс, чрезвычайно стабилен, легко расширяется, поставляется с множеством отличных приложений, прост в использовании и выглядит просто потрясающе.|приложения|positive|0
8|Он высокого качества, имеет потрясающий графический интерфейс, чрезвычайно стабилен, легко расширяется, поставляется с множеством отличных приложений, прост в использовании и выглядит просто потрясающе.|использование|positive|0
9|Легко запускается и не перегревается так сильно, как другие ноутбуки.|запуск|positive|0
10|Я даже купил своему подростку такой же из-за функций, которые он предлагает, таких как iChat, Photobooth, GarageBand и других!|функции|positive|0
11|Я даже купил своему подростку такой же из-за функций, которые он предлагает, таких как iChat, Photobooth, GarageBand и других!|iChat|positive|0
12|Я даже купил своему подростку такой же из-за функций, которые он предлагает, таких как iChat, Photobooth, GarageBand и других!|Photobooth|positive|0
13|Я даже купил своему подростку такой же из-за функций, которые он предлагает, таких как iChat, Photobooth, GarageBand и других!|garage band|positive|0
14|Отличный ноутбук с множеством замечательных функций!|функции|positive|0
20|В магазине эти MacBook упакованы в мягкую резиновую оболочку — так что вы не узнаете об острых краях, пока не купите его, принесёте домой, вскроете упаковку и начнёте использовать (очень хитрый обман).|резиновая оболочка|positive|0
22|Однако мультитач-жесты и большая область трекпада делают внешнюю мышь ненужной (если только вы не играете).|мультитач-жесты|positive|0
23|Однако мультитач-жесты и большая область трекпада делают внешнюю мышь ненужной (если только вы не играете).|область трекпада|positive|0
26|Мне нравится, как работает весь набор программного обеспечения в комплекте.|набор ПО|positive|0
27|Скорость просто потрясающая, и я более чем доволен.|скорость|positive|0
28|Этот ноутбук оправдывает все ожидания, а Windows 7 просто великолепна!|Windows 7|positive|0
34|Сопряжение с iPhone — одно удовольствие: синхронизация проходит без проблем — раньше это занимало вечность, а теперь мгновенно.|синхронизация|positive|0
35|"Я также получил бонус в виде 30-дюймового HD-монитора, который действительно помогает расширить экран и снизить нагрузку на глаза!"|"30"" HD монитор"|positive|0
40|Мне нравится операционная система и предустановленное программное обеспечение.|операционная система|positive|0
41|Мне нравится операционная система и предустановленное программное обеспечение.|предустановленное ПО|positive|0
42|Самое лучшее в этом ноутбуке — цена вместе с некоторыми новыми функциями.|цена|positive|0
43|Самое лучшее в этом ноутбуке — цена вместе с некоторыми новыми функциями.|функции|positive|0
47|Я отправлял его в Toshiba дважды, и они починили его по гарантии.|гарантия|positive|0
48|Я искал Mac, который был бы портативным и имел все нужные мне функции.|функции|positive|0
56|Драйверы обновились нормально, но обновление BIOS зависло, и компьютер выключился.|драйверы|positive|0
67|Потрясающее качество!|качество|positive|0
69|Тот факт, что вы можете потратить более $100 только на веб-камеру, подчёркивает ценность этого устройства.|ценность|positive|0
76|Если сайт зависает (что бывает редко), его очень легко принудительно закрыть.|принудительное закрытие|positive|0
78|Мне также нравится, что мой MacBook Pro позволяет запускать Windows 7 через программу VMWare.|Windows 7|positive|0
80|Намного проще перемещаться по операционной системе, находить файлы, и всё работает гораздо быстрее!|операционная система|positive|0
81|Намного проще перемещаться по операционной системе, находить файлы, и всё работает гораздо быстрее!|работа|positive|0
82|Намного проще перемещаться по операционной системе, находить файлы, и всё работает гораздо быстрее!|навигация|positive|0
83|Намного проще перемещаться по операционной системе, находить файлы, и всё работает гораздо быстрее!|поиск файлов|positive|0
87|Мы увеличили память до четырёх гигабайт, чтобы воспользоваться приростом производительности и скорости.|скорость|positive|0
88|Мы увеличили память до четырёх гигабайт, чтобы воспользоваться приростом производительности и скорости.|производительность|positive|0
92|И если у вас есть iPhone или iPod touch, вы можете подключаться и загружать песни на высокой скорости.|скорость|positive|0
93|Мне нравится стеклянный тачпад.|стеклянный тачпад|positive|0
96|Я использую внешний динамик — звук хороший.|внешний динамик|positive|0
97|Я использую внешний динамик — звук хороший.|звук|positive|0
101|Всё очень легко использовать, программное обеспечение Mac намного проще, чем Microsoft.|ПО Mac|positive|0
103|Всё очень легко использовать, программное обеспечение Mac намного проще, чем Microsoft.|использование|positive|0
106|Простота использования и отличный сервис Apple — будь то телефонная поддержка или визит в Genius Bar — несравненны.|использование|positive|0
107|Простота использования и отличный сервис Apple — будь то телефонная поддержка или визит в Genius Bar — несравненны.|сервис|positive|0
108|Простота использования и отличный сервис Apple — будь то телефонная поддержка или визит в Genius Bar — несравненны.|телефонная поддержка|positive|0
109|Простота использования и отличный сервис Apple — будь то телефонная поддержка или визит в Genius Bar — несравненны.|Genius Bar|positive|0
110|Аккумулятора хватает на 10 часов при веб-сёрфинге и работе с текстом, что идеально для учёбы или офиса, а в играх и при просмотре фильмов — чуть более 5 часов.|время работы от аккумулятора|positive|0
111|Аккумулятора хватает на 10 часов при веб-сёрфинге и работе с текстом, что идеально для учёбы или офиса, а в играх и при просмотре фильмов — чуть более 5 часов.|время работы от аккумулятора|positive|1
116|Acer предоставил мне БЕСПЛАТНЫЕ диски восстановления, когда они стали доступны, по моей просьбе.|диски восстановления|positive|0
120|Время работы от аккумулятора кажется очень хорошим, и у меня не было с ним проблем.|время работы от аккумулятора|positive|0
125|Для Mac не нужно покупать антивирус, что экономит мне кучу времени и денег.|антивирус для Mac|positive|0
130|Он всегда надёжен, никогда не глючит и отлично реагирует.|реакция|positive|0
135|Да, компьютер лёгкий, дешевле среднего ноутбука и интуитивно понятен в использовании.|использование|positive|0
138|Кроме того, если вам нужно поговорить с представителем Microsoft, за это берут плату, что я считаю грабежом, учитывая огромные суммы за плохо продуманную систему, из-за чего многие предпочли бы XP, если бы могли.|XP|positive|0
139|Мне нравится Windows 7, которая намного лучше Vista.|Windows 7|positive|0
141|Клавиатура отличная, очень тихая, учитывая, сколько я печатаю.|клавиатура|positive|0
