|text|span|label|ordinal
0|Дизайн и атмосфера так же хороши.|Дизайн|positive|0
1|Дизайн и атмосфера так же хороши.|атмосфера|positive|0
4|Мне нравится операционная система и предустановленное программное обеспечение.|операционная система|positive|0
6|Мне нравится операционная система и предустановленное программное обеспечение.|программное обеспечение|positive|0
41|Лучшее из всего - это теплая атмосфера, владелец очень дружелюбный и обслуживание быстрое.|владелец|positive|0
42|Лучшее из всего - это теплая атмосфера, владелец очень дружелюбный и обслуживание быстрое.|атмосфера|positive|0
50|Отличный аккумулятор, скорость, дисплей.|скорость|positive|0
71|Пицца была довольно вкусной и огромной.|Пицца|positive|0
109|Это маленькое место с милым интерьером и доступными городскими ценами.|интерьером|positive|0
220|Винотека хорошая, и вино по бокалам было щедро наполнено доверху.|Винотека|positive|0
226|Я использую внешний динамик — звук хороший.|внешний динамик|positive|0
227|"Несмотря на то, что ролл ""Паук"" с крабами в мягких панцирях, свисающими с него, может показаться сложным в употребления, он стоит цену, которю вы за него платите."|цену|positive|0
232|Прямо рядом с L в Бруклине это милое уютное место с хорошей пиццей.|пиццей|positive|0
242|Простота использования и отличный сервис Apple — будь то телефонная поддержка или визит в Genius Bar — несравненны.|телефонная поддержка|positive|0
244|После разговора с очень компетентным продавцом я выбрал MacBook Pro вместо белого MacBook.|продавцом|positive|0
5|Обстановка романтичная, но еда ужасная, обслуживание жалкое, и Габриэлла лжет обо всем, что только может.|еда|negative|0
23|Однако высокая цена.|цена|negative|0
39|Рыба была пережарена.|Рыба|negative|0
78|Хозяйка грубая до неприличия.|Хозяйка|negative|0
81|Он подхватил вирус, который полностью уничтожил мой жёсткий диск за несколько часов.|жёсткий диск|negative|0
92|Все мои коллеги были поражены тем, насколько маленьким было блюдо.|блюдо|negative|0
121|После многочисленных попыток (включая прямое установление времени в BIOS) я сдался (я технарь).|времени в BIOS|negative|0
145|Единственное, что мне не нравится в Apple — они обычно используют Safari, а я его не люблю, но после установки Mozilla Firefox я влюбился в каждую деталь.|Safari|negative|0
204|Меню очень ограничено - я думаю, мы насчитали 4 или 5 блюд.|блюд|negative|0
205|"Меню ""Пуск"" не самое удобное для навигации из-за стекирования."|навигации|negative|0
209|Ах да, не забудьте про дорогую доставку туда и обратно в HP.|доставку|negative|0
214|Официантка, кажется, больше заботится о том, чтобы хорошо выглядеть, чем о своей работе.|Официантка|negative|0
230|Через 2 месяца сел аккумулятор.|аккумулятор|negative|0
238|Нас быстро посадили, так как у нас был резерв, однако после этого обслуживание было медленным.|обслуживание|negative|0
246|Да, они используют необычные ингредиенты, но даже из необычных ингредиентов не получится хорошей пиццы, если только кто-то не знает, как правильно сделать корочку.|пиццы|negative|0
247|Также немного шумный, когда работает вентилятор.|вентилятор|negative|0
7|Наконец, я должен отметить, что я взял 2GB модуль RAM из моего старого EeePC и установил его ещё до первого включения.|2GB модуль RAM|neutral|0
20|Всё, что мы получили при уходе на шоу без ужина, — это извинения.|ужина|neutral|0
21|Мне нужна мощная видеокарта для эффективной работы с Adobe Creative.|видеокарта|neutral|0
40|Я попросил сельтерскую с лаймом, без льда.|сельтерскую с лаймом|neutral|0
47|Моя любимая часть этого компьютера — наличие VGA-порта, так что я могу подключить его к большему экрану.|экрану|neutral|0
117|Когда он наконец подошел, он не смог сделать джин с тоником — не нашел тоник.|джин с тоником|neutral|0
118|Есть несколько программ для школы или офиса (Pages, Numbers, Keynote и т.д.), музыки (Garageband), управления фото (Photo Booth, iPhoto), видеомонтажа или создания фильмов (iMovie) и т.д.|управления фото|neutral|0
120|Также, похоже, была проблема с жёстким диском, так как иногда Windows загружалась, но не могла найти драйверы или файлы.|драйверы|neutral|0
150|Мое предложение - питаться по-семейному, потому что вы захотите попробовать другие блюда.|блюда|neutral|0
201|у него 3 USB-порта, 1 кард-ридер для SD и слот для расширения SD памяти.|кард-ридер для SD|neutral|0
218|Во-первых, официантка была совершенно невнимательна в те два раза, когда мы ее видели (странно в ресторане на 6 столиков), и неправильно приняла наш заказ.|столиков|neutral|0
233|Возьмите еду с собой, найдите скамейку и расслабьтесь с тарелкой пельменей.|еду|neutral|0
235|Также обратите внимание на фоновую музыку — довольно странный выбор.|музыку|neutral|0
239|Официантка предложила бокалы вина, которые отлично сочетались с едой.|едой|neutral|0
243|Я заказал блюдо с лососем, и хотя оно было нормальным, за такую цену я ожидал больше вкуса.|цену|neutral|0
