|text|span|label|ordinal|norm_span
0|Чтобы быть полностью справедливым, единственным искупительным фактором была еда, которая была выше среднего, но не могла компенсировать все остальные недостатки Teodora.|еда|positive|0|еда
1|Еда в целом исключительная, с очень способной кухней, которая с гордостью приготовит все, что вы захотите съесть, независимо от того, есть ли это в меню или нет.|кухней|positive|0|еда
2|Еда в целом исключительная, с очень способной кухней, которая с гордостью приготовит все, что вы захотите съесть, независимо от того, есть ли это в меню или нет.|Еда|positive|0|еда
3|Не только еда была выдающейся, но и маленькие «плюсы» были замечательными.|еда|positive|0|еда
4|Не только еда была выдающейся, но и маленькие «плюсы» были великолепны.|плюсы|positive|0|плюс
5|Нашим любимым блюдом по общему мнению является орекьетте с колбасой и курицей (обычно официанты достаточно любезны, чтобы разделить блюдо пополам, так что вы можете попробовать оба вида мяса)|орекьетте с колбасой и курицей|positive|0|орекьетта с колбаса и курица
6|Нашим любимым блюдом по общему мнению является орекьетте с колбасой и курицей (обычно официанты достаточно любезны, чтобы разделить блюдо пополам, так что вы можете попробовать оба вида мяса)|официанты|positive|0|официант
7|Багели обладают выдающимся вкусом и потрясающей текстурой, одновременно жевательной, но не липкой.|Багели|positive|0|багель
8|Несмотря на это, сама еда довольно хороша.|еда|positive|0|еда
9|Дизайн и атмосфера так же хороши.|Дизайн|positive|0|дизайн
10|Дизайн и атмосфера так же хороши.|атмосфера|positive|0|атмосфера
11|Он побывал в Таиланде и хорошо разбирается в кухне.|кухне|positive|0|кухня
12|Пицца лучшая, если вы любите пиццу с тонкой корочкой.|Пицца|positive|0|пицца
13|Все деньги ушли на оформление интерьера, ни одна из них не досталась поварам.|оформление интерьера|positive|0|оформление интерьер
14|Не ходите в одиночку - даже двух человек недостаточно для полного впечатления, с соленьями и выбором мяса и морепродуктов.|соленьями|positive|0|соление
15|Не ходите в одиночку - даже двух человек недостаточно для полного впечатления, с соленьями и выбором мяса и морепродуктов.|выбором мяса и морепродуктов|positive|0|выбор мясо и морепродукт
16|Мое предложение - питаться по-семейному, потому что вы захотите попробовать другие блюда.|питаться по-семейному|positive|0|питаться по семейный
17|Лучшее из всего - это теплая атмосфера, владелец очень дружелюбен, а обслуживание быстрое.|атмосфера|positive|0|атмосфера
18|Лучшее из всего - это теплая атмосфера, владелец очень дружелюбный и обслуживание быстрое.|владелец|positive|0|владелец
19|Лучшее из всего - это теплая атмосфера, владелец очень дружелюбен, а обслуживание быстрое.|обслуживание|positive|0|обслуживание
20|Потрясающая еда, теплая атмосфера и дружелюбное обслуживание - это место в центре города не пропускает ни одного удара.|еда|positive|0|еда
21|Потрясающая еда, теплая атмосфера, дружелюбное обслуживание - это место в центре города не пропускает ни одного удара.|атмосфера|positive|0|атмосфера
22|Потрясающая еда, теплая атмосфера, дружелюбное обслуживание - это место в центре города не пропускает ни одного удара.|обслуживание|positive|0|обслуживание
23|Отличная еда по разумным ценам делает вечер незабываемым!|еда|positive|0|еда
24|Отличная еда по разумным ценам, делает вечер, который не может быть превзойден!|ценам|positive|0|цена
25|Это маленькое место с милым интерьером и доступными городскими ценами.|интерьером|positive|0|интерьер
26|Это маленькое заведение с милым интерьером и доступными городскими ценами.|ценами|positive|0|цена
27|Два слова: Бесплатное вино.|вино|positive|0|вино
28|Цена разумная, хотя обслуживание плохое.|Цена|positive|0|цена
29|Количество также очень хорошее, вы останетесь довольны.|Количество|positive|0|количество
30|Жареный рис здесь потрясающий.|Жареный рис|positive|0|жареный рис
31|Три блюда - на выбор: отличные мидии, козий сыр из слоеного теста и салат с восхитительной заправкой, а также стейк из ягненка au poivre, который просто вне этого мира.|мидии|positive|0|мидия
32|Три блюда - на выбор: превосходные мидии, козий сыр из слоеного теста и салат с восхитительной заправкой, а также стейк из вешалки au poivre, который не имеет аналогов в этом мире.|козий сыр из слоеного теста|positive|0|козий сыр из слоёный тест
33|Три блюда - на выбор: превосходные мидии, козий сыр из слоеного теста и салат с восхитительной заправкой, а также стейк из вешалки au poivre, который не имеет аналогов в этом мире.|салат с восхитительной заправкой|positive|0|салат с восхитительная заправка
34|Три блюда - на выбор: превосходные мидии, салат из слоеного теста с козьим сыром и восхитительной заправкой, а также стейк из вешалки au poivre, который не имеет аналогов в этом мире.|стейк из вешалки au poivre|positive|0|стейк из вешалка au poivre
35|Это идеальное место, чтобы отведать вкуснейшую индийскую еду.|индийскую еду|positive|0|индийская еда
36|Это место такое классное, и обслуживание быстрое и любопытное.|обслуживание|positive|0|обслуживание
37|Место такое классное, а обслуживание быстрое и внимательное.|Место|positive|0|место
38|В конце у вас остается мягкий бульон с лапшой, который вы можете потягивать из чашки.|бульон с лапшой|positive|0|бульон с лапша
39|Я просто удивляюсь, как можно есть такую вкусную еду за такие маленькие деньги.|еду|positive|0|еда
40|Я просто удивляюсь, как можно есть такую вкусную еду за такие маленькие деньги.|деньги|positive|0|деньга
41|Винная карта превосходна.|Винная карта|positive|0|винная карта
42|Я бывал во многих тайских ресторанах на Манхэттене, и Toons - это, безусловно, лучшая тайская еда, которую я пробовал (кроме маминой, конечно).|тайская еда|positive|0|тайская еда
43|Это неизменно отличное место для перекуса в обед или ужин.|перекуса|positive|0|перекус
44|Хорошая атмосфера, обслуживание было очень приятным, и десерт была хорошей.|атмосфера|positive|0|атмосфера
45|Хорошая атмосфера, обслуживание было очень приятным, а десерт была хорошей.|обслуживание|positive|0|обслуживание
46|Хорошая атмосфера, обслуживание было очень приятным, а десерт - хорошей.|десерт|positive|0|десерт
47|После того, как нам очень понравилось в баре, мы сели за столик и поужинали.|баре|positive|0|бар
48|Потрясающее обслуживание, фантастическая еда, расслабляющая атмосфера и обстановка.|обслуживание|positive|0|обслуживание
49|Потрясающее обслуживание, фантастическая еда, расслабляющая атмосфера и обстановка.|еда|positive|0|еда
50|Потрясающее обслуживание, фантастическая еда, расслабляющая атмосфера и обстановка.|атмосфера|positive|0|атмосфера
51|Потрясающее обслуживание, фантастическая еда и прохладная атмосфера и обстановка.|обстановка|positive|0|обстановка
52|Попробуйте закуску лазаньета.|закуску лазаньета|positive|0|закуска лазаньета
53|Мне понравился выбор пива.|выбор пива|positive|0|выбор пиво
54|Отличная еда, хорошее меню, отличное обслуживание и непритязательная обстановка.|еда|positive|0|еда
55|Отличная еда, хорошее меню, отличное обслуживание и непритязательная обстановка.|меню|positive|0|меню
56|Отличная еда, хорошее меню, отличное обслуживание и непритязательная обстановка.|обслуживание|positive|0|обслуживание
57|Отличная еда, хорошее меню, отличное обслуживание и непритязательная обстановка.|обстановка|positive|0|обстановка
58|Посетите этот ресторан для романтического ужина, но не для вау-ужина.|ужина|positive|0|ужин
59|Приходите сюда на романтический ужин, но не для вау-ужина.|вау-ужина|positive|0|вау ужин
60|Винотека хорошая, и вино по бокалам было щедро наполнено доверху.|Винотека|positive|0|винотёк
61|Выбор вин хороший, и вино по бокалам было щедро наполнено до верха.|вино по бокалам|positive|0|вино по бокал
62|Благодаря большому разнообразию меню, я часто здесь обедаю и никогда не скучаю.|меню|positive|0|меню
63|Меню ограничено, но почти все блюда превосходны.|блюда|positive|0|блюдо
64|Отличные бублики, спреды и хорошее место, чтобы потусоваться.|бублики|positive|0|бублик
65|Отличные бублики, спреды и хорошее место, чтобы потусоваться.|спреды|positive|0|спреда
66|К сожалению, еда здесь превосходная, но все остальное в этом ресторане - отстой.|еда|positive|0|еда
67|Мы всегда едим вкусную еду и всегда уходим довольными.|еду|positive|0|еда
68|Первым делом зашли сюда, чтобы насладиться их садовой террасой.|садовой террасой|positive|0|садовая терраса
69|Пицца была довольно вкусной и огромной.|Пицца|positive|0|пицца
70|Я почти не решаюсь написать отзыв, потому что атмосфера была такой замечательной, и мне бы не хотелось, чтобы здесь стало слишком многолюдно.|атмосфера|positive|0|атмосфера
